BILL_HEADER_UUID,STORE_UUID,BILL_DATE,BILL_DISCOUNT,BILL_NUM,BILL_TOTAL,CREATED_BY,CREATED_TIME,REF_COLUMN_1,REF_COLUMN_2,UPDATE_BY,UPDATED_TIME,BILL_STATUS
"51FA05196ADE7159E10000000A442CBA","1","2012-09-02 00:00:00.0000000",0,"1001",7690,"PROC","2013-08-02 00:00:00.0000000","","","PROC","2013-08-02 00:00:00.0000000",0
"51FA052A6ADE7159E10000000A442CBA","1","2012-09-03 00:00:00.0000000",0,"1002",5279,"PROC","2013-08-02 00:00:00.0000000","","","PROC","2013-08-02 00:00:00.0000000",0
"51FA05386ADE7159E10000000A442CBA","1","2012-09-04 00:00:00.0000000",0,"1003",9115,"PROC","2013-08-02 00:00:00.0000000","","","PROC","2013-08-02 00:00:00.0000000",0
"51FA054C6ADE7159E10000000A442CBA","1","2012-09-05 00:00:00.0000000",0,"1004",6517,"PROC","2013-08-02 00:00:00.0000000","","","PROC","2013-08-02 00:00:00.0000000",0
"51FA055C6ADE7159E10000000A442CBA","1","2012-09-06 00:00:00.0000000",0,"1005",7657,"PROC","2013-08-02 00:00:00.0000000","","","PROC","2013-08-02 00:00:00.0000000",0
"51FA05736ADE7159E10000000A442CBA","1","2012-09-07 00:00:00.0000000",0,"1006",8143,"PROC","2013-08-02 00:00:00.0000000","","","PROC","2013-08-02 00:00:00.0000000",0
"51FA05886ADE7159E10000000A442CBA","1","2012-09-08 00:00:00.0000000",0,"1007",4515,"PROC","2013-08-02 00:00:00.0000000","","","PROC","2013-08-02 00:00:00.0000000",0
"51FA059F6ADE7159E10000000A442CBA","1","2012-09-09 00:00:00.0000000",0,"1008",7732,"PROC","2013-08-02 00:00:00.0000000","","","PROC","2013-08-02 00:00:00.0000000",0
"51FA05B46ADE7159E10000000A442CBA","1","2012-09-10 00:00:00.0000000",0,"1009",8285,"PROC","2013-08-02 00:00:00.0000000","","","PROC","2013-08-02 00:00:00.0000000",0
"51FA05CA6ADE7159E10000000A442CBA","1","2012-09-11 00:00:00.0000000",0,"1010",8463,"PROC","2013-08-02 00:00:00.0000000","","","PROC","2013-08-02 00:00:00.0000000",0
"51FA05DA6ADE7159E10000000A442CBA","1","2012-09-12 00:00:00.0000000",0,"1011",12540,"PROC","2013-08-02 00:00:00.0000000","","","PROC","2013-08-02 00:00:00.0000000",0
"51FA05F16ADE7159E10000000A442CBA","1","2012-09-13 00:00:00.0000000",0,"1012",7926,"PROC","2013-08-02 00:00:00.0000000","","","PROC","2013-08-02 00:00:00.0000000",0
"51FA06066ADE7159E10000000A442CBA","1","2012-09-14 00:00:00.0000000",0,"1013",7877,"PROC","2013-08-02 00:00:00.0000000","","","PROC","2013-08-02 00:00:00.0000000",0
"51FA061C6ADE7159E10000000A442CBA","1","2012-09-15 00:00:00.0000000",0,"1014",8336,"PROC","2013-08-02 00:00:00.0000000","","","PROC","2013-08-02 00:00:00.0000000",0
"51FA062C6ADE7159E10000000A442CBA","1","2012-09-16 00:00:00.0000000",0,"1015",10583,"PROC","2013-08-02 00:00:00.0000000","","","PROC","2013-08-02 00:00:00.0000000",0
"51FA06416ADE7159E10000000A442CBA","1","2012-09-17 00:00:00.0000000",0,"1016",13471,"PROC","2013-08-02 00:00:00.0000000","","","PROC","2013-08-02 00:00:00.0000000",0
"51FA06566ADE7159E10000000A442CBA","1","2012-09-18 00:00:00.0000000",0,"1017",9052,"PROC","2013-08-02 00:00:00.0000000","","","PROC","2013-08-02 00:00:00.0000000",0
"51FA066B6ADE7159E10000000A442CBA","1","2012-09-19 00:00:00.0000000",0,"1018",10680,"PROC","2013-08-02 00:00:00.0000000","","","PROC","2013-08-02 00:00:00.0000000",0
"51FA06826ADE7159E10000000A442CBA","1","2012-09-20 00:00:00.0000000",0,"1019",13320,"PROC","2013-08-02 00:00:00.0000000","","","PROC","2013-08-02 00:00:00.0000000",0
"51FA06966ADE7159E10000000A442CBA","1","2012-09-21 00:00:00.0000000",0,"1020",10788,"PROC","2013-08-02 00:00:00.0000000","","","PROC","2013-08-02 00:00:00.0000000",0
"51FA06A56ADE7159E10000000A442CBA","1","2012-09-22 00:00:00.0000000",0,"1021",16571,"PROC","2013-08-02 00:00:00.0000000","","","PROC","2013-08-02 00:00:00.0000000",0
"51FA06B66ADE7159E10000000A442CBA","1","2012-09-23 00:00:00.0000000",0,"1022",7004,"PROC","2013-08-02 00:00:00.0000000","","","PROC","2013-08-02 00:00:00.0000000",0
"51FA06C46ADE7159E10000000A442CBA","1","2012-09-24 00:00:00.0000000",0,"1023",10268,"PROC","2013-08-02 00:00:00.0000000","","","PROC","2013-08-02 00:00:00.0000000",0
"51FA06DA6ADE7159E10000000A442CBA","1","2012-09-25 00:00:00.0000000",0,"1024",9585,"PROC","2013-08-02 00:00:00.0000000","","","PROC","2013-08-02 00:00:00.0000000",0
"51FA06EA6ADE7159E10000000A442CBA","1","2012-09-26 00:00:00.0000000",0,"1025",4597,"PROC","2013-08-02 00:00:00.0000000","","","PROC","2013-08-02 00:00:00.0000000",0
"51FA07006ADE7159E10000000A442CBA","1","2012-09-27 00:00:00.0000000",0,"1026",5984,"PROC","2013-08-02 00:00:00.0000000","","","PROC","2013-08-02 00:00:00.0000000",0
"51FA070E6ADE7159E10000000A442CBA","1","2012-09-28 00:00:00.0000000",0,"1027",7119,"PROC","2013-08-02 00:00:00.0000000","","","PROC","2013-08-02 00:00:00.0000000",0
"51FA07226ADE7159E10000000A442CBA","1","2012-09-29 00:00:00.0000000",0,"1028",7472,"PROC","2013-08-02 00:00:00.0000000","","","PROC","2013-08-02 00:00:00.0000000",0
